"","calenderWeek","year","day","month","date","cases","deaths","A00-A04_Cases","A00-A04_Deaths","A05-A14_Cases","A05-A14_Deaths","A15-A34_Cases","A15-A34_Deaths","A35-A59_Cases","A35-A59_Deaths","A60-A79_Cases","A60-A79_Deaths","A80+_Cases","A80+_Deaths","unbekannt_Cases","unbekannt_Deaths","COM_FirstDose","COM_SecondDose","COM_DoseAdditional1","COM_Received","MOD_FirstDose","MOD_SecondDose","MOD_DoseAdditional1","MOD_Received","AZ_FirstDose","AZ_SecondDose","AZ_DoseAdditional1","AZ_Received","JANSS_FirstDose","JANSS_SecondDose","JANSS_DoseAdditional1","JANSS_Received","cummulative_COM_FirstDose","cummulative_COM_SecondDose","cummulative_COM_DoseAdditional1","cummulative_COM_Received","cummulative_MOD_FirstDose","cummulative_MOD_SecondDose","cummulative_MOD_DoseAdditional1","cummulative_MOD_Received","cummulative_AZ_FirstDose","cummulative_AZ_SecondDose","cummulative_AZ_DoseAdditional1","cummulative_AZ_Received","cummulative_JANSS_FirstDose","cummulative_JANSS_SecondDose","cummulative_JANSS_DoseAdditional1","cummulative_JANSS_Received","tests_done","testing_rate","positivity_rate","number_hosp","BanOnAllEvents","BanOnAllEventsPartial","ClosDaycare","ClosDaycarePartial","ClosPrim","ClosPrimPartial","ClosPubAny","ClosPubAnyPartial","ClosSec","ClosSecPartial","ClosureOfPublicTransportPartial","EntertainmentVenues","EntertainmentVenuesPartial","GymsSportsCentres","GymsSportsCentresPartial","HotelsOtherAccommodationPartial","IndoorOver100","IndoorOver1000","IndoorOver50","IndoorOver500","MasksMandatoryAllSpacesPartial","MasksMandatoryClosedSpaces","MasksMandatoryClosedSpacesPartial","MasksVoluntaryAllSpaces","MassGather50","MassGather50Partial","MassGatherAll","MassGatherAllPartial","NonEssentialShops","NonEssentialShopsPartial","OutdoorOver100","OutdoorOver500","PlaceOfWorshipPartial","PrivateGatheringRestrictions","PrivateGatheringRestrictionsPartial","QuarantineForInternationalTravellers","QuarantineForInternationalTravellersPartial","RestaurantsCafes","RestaurantsCafesPartial","SocialCirclePartial","StayHomeGen","StayHomeGenPartial","StayHomeOrderPartial","Teleworking","TeleworkingPartial","number_sequenced","percent_cases_sequenced","AT.1_number_detections_variant","AT.1_percent_variant","AY.4.2_number_detections_variant","AY.4.2_percent_variant","B.1.1.529_number_detections_variant","B.1.1.529_percent_variant","B.1.1.7_number_detections_variant","B.1.1.7_percent_variant","B.1.1.7+E484K_number_detections_variant","B.1.1.7+E484K_percent_variant","B.1.351_number_detections_variant","B.1.351_percent_variant","B.1.427/B.1.429_number_detections_variant","B.1.427/B.1.429_percent_variant","B.1.525_number_detections_variant","B.1.525_percent_variant","B.1.526_number_detections_variant","B.1.526_percent_variant","B.1.616_number_detections_variant","B.1.616_percent_variant","B.1.617_number_detections_variant","B.1.617_percent_variant","B.1.617.1_number_detections_variant","B.1.617.1_percent_variant","B.1.617.2_number_detections_variant","B.1.617.2_percent_variant","B.1.617.3_number_detections_variant","B.1.617.3_percent_variant","B.1.620_number_detections_variant","B.1.620_percent_variant","B.1.621_number_detections_variant","B.1.621_percent_variant","B.1.640_number_detections_variant","B.1.640_percent_variant","C.1.2_number_detections_variant","C.1.2_percent_variant","C.37_number_detections_variant","C.37_percent_variant","P.1_number_detections_variant","P.1_percent_variant","P.3_number_detections_variant","P.3_percent_variant","UNK_number_detections_variant","UNK_percent_variant","Other_number_detections_variant","Other_percent_variant"
"1","52","2020","21","12",2020-12-21,20295,921,340,0,991,0,5137,1,7508,24,3509,271,2796,625,14,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5157,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"2","52","2020","22","12",2020-12-22,28988,1198,448,0,1301,0,7022,3,11414,31,5042,307,3735,857,26,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5202,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"3","52","2020","23","12",2020-12-23,33978,1249,488,0,1530,0,8402,1,13290,41,5963,319,4286,888,19,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5226,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"4","52","2020","24","12",2020-12-24,21161,711,325,0,1030,0,5351,0,8191,20,3626,176,2628,515,10,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5330,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"5","52","2020","25","12",2020-12-25,13168,508,201,0,632,0,3315,0,4975,11,2337,137,1705,360,3,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5364,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"6","52","2020","26","12",2020-12-26,11539,576,162,0,493,0,2788,1,4270,16,2079,160,1741,399,6,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5520,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"7","52","2020","27","12",2020-12-27,9809,527,142,0,432,0,2408,0,3494,15,1757,147,1568,365,8,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,24332,11,0,151125,0,0,0,0,0,0,0,0,0,0,0,0,1090372,1311.06783818829,12.7433573129171,5546,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,370,0.00266282835552357,0,0,0,0,0,0,13,0.0351351351351351,0,0,1,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0243243243243243,347,0.937837837837838
"8","53","2020","28","12",2020-12-28,15734,889,206,0,532,0,3910,1,5959,27,2798,234,2319,627,10,0,278143,927,2,1174875,0,0,0,0,0,0,0,0,0,0,0,0,302475,938,2,1326000,0,0,0,0,0,0,0,0,0,0,0,0,845729,1016.90807515521,13.5076366069982,5582,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,277,0.00242476233827623,0,0,0,0,0,0,12,0.0433212996389892,0,0,5,0.0180505415162455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0505415162454874,246,0.888086642599278
"9","53","2020","29","12",2020-12-29,27582,1245,339,0,976,0,6770,1,10769,38,4973,310,3735,896,20,0,278143,927,2,1174875,0,0,0,0,0,0,0,0,0,0,0,0,302475,938,2,1326000,0,0,0,0,0,0,0,0,0,0,0,0,845729,1016.90807515521,13.5076366069982,5637,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,277,0.00242476233827623,0,0,0,0,0,0,12,0.0433212996389892,0,0,5,0.0180505415162455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0505415162454874,246,0.888086642599278
"10","53","2020","30","12",2020-12-30,31059,1283,362,0,1106,0,7815,1,11828,29,5606,304,4327,949,15,0,278143,927,2,1174875,0,0,0,0,0,0,0,0,0,0,0,0,302475,938,2,1326000,0,0,0,0,0,0,0,0,0,0,0,0,845729,1016.90807515521,13.5076366069982,5630,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,277,0.00242476233827623,0,0,0,0,0,0,12,0.0433212996389892,0,0,5,0.0180505415162455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0505415162454874,246,0.888086642599278
